x;y;z;e;
1;198;4;5;
2;194;8;4;
9;116;10;4;
6;180;13;3;
4;2;1;3;
6;135;6;4;
9;189;15;2;
0;28;0;4;
11;129;2;3;
9;165;7;1;
13;180;10;3;
12;181;5;4;
11;84;1;2;
0;9;1;1;
14;21;6;5;
10;154;77;4;
11;119;64;2;
6;156;68;3;
8;143;73;4;
16;172;73;6;
1;109;67;2;
8;87;75;6;
7;200;71;6;
2;185;77;3;
16;171;75;4;
5;150;74;2;
1;78;73;2;
4;116;75;5;
0;46;72;4;
16;178;72;5;
69;72;73;5;
78;101;72;4;
74;54;78;5;
67;22;76;5;
70;147;77;4;
68;159;71;2;
75;35;74;3;
77;129;79;4;
73;69;76;5;
69;30;68;4;
67;67;69;5;
76;167;78;3;
76;75;72;2;
65;140;78;5;
79;98;74;4;
74;166;8;3;
69;156;4;3;
64;152;3;2;
80;130;9;1;
74;118;14;1;
73;19;16;4;
70;72;12;1;
75;124;14;4;
72;98;12;4;
70;43;3;1;
69;191;1;3;
66;7;11;1;
68;36;15;3;
68;196;1;2;
67;185;5;4;
71;8;5;1;
68;4;13;2;
53;7;3;3;
28;7;3;3;
76;11;7;3;
26;1;3;3;
34;14;11;2;
21;14;1;2;
79;8;3;2;
29;6;0;3;
71;8;2;3;
17;4;16;1;
8;12;72;4;
12;0;70;2;
8;2;65;4;
72;3;79;4;
74;16;77;4;
73;11;76;2;
36;1;65;2;
35;7;76;4;
68;16;68;4;
74;14;72;2;
53;5;76;4;
9;16;67;2;
11;188;73;6;
23;200;73;5;
7;196;70;9;
76;193;77;8;
58;184;66;6;
71;192;72;9;
51;184;79;5;
42;189;74;4;
33;198;77;6;
25;192;64;8;
27;184;64;4;
65;198;77;8;
0;190;78;8;
11;188;70;4;
66;199;70;7;
75;185;65;9;
28;191;77;6;
27;197;69;5;
58;185;72;6;
11;187;73;6;
4;199;15;4;
8;197;12;3;
27;195;12;7;
10;196;3;6;
40;186;2;7;
31;185;2;4;
67;194;2;3;
70;200;0;8;
1;199;15;8;
17;195;14;8;
65;185;5;5;
54;185;1;6;
61;197;14;6;
20;197;9;5;
30;197;15;5;
0;191;16;7;
61;185;11;5;
76;188;12;4;
38;200;13;6;
72;184;14;8;
64;189;1;8;
75;191;70;7;
76;200;46;4;
70;191;30;3;
69;194;79;5;
69;184;62;6;
75;195;74;4;
64;200;13;6;
76;189;38;7;
78;185;5;8;
75;199;44;7;
64;185;73;4;
75;185;53;3;
65;198;67;7;
79;196;58;6;
68;193;43;4;
73;188;40;5;
80;186;9;8;
76;189;42;5;
68;199;44;3;
2;159;26;7;
11;159;80;8;
1;189;28;9;
0;187;14;9;
10;170;80;8;
14;184;25;8;
11;180;10;7;
3;183;61;9;
3;187;58;8;
4;181;60;8;
11;190;45;9;
16;164;76;9;
6;196;16;9;
14;196;75;8;
3;161;16;9;
2;163;37;9;
12;196;79;9;
15;160;44;7;
14;197;29;9;
2;192;26;9;
14;32;23;4;
4;2;30;2;
3;14;68;2;
13;3;7;1;
13;28;23;4;
0;34;57;1;
1;14;13;4;
1;33;74;3;
4;16;15;2;
1;31;77;2;
13;34;6;4;
3;8;69;2;
0;0;69;4;
13;16;18;3;
11;27;22;4;
78;1;39;2;
77;36;17;2;
65;37;38;2;
77;2;59;1;
76;1;69;1;
75;33;44;1;
70;25;26;2;
65;22;24;1;
65;18;55;2;
72;19;71;2;
80;32;55;2;
76;16;73;1;
72;29;51;2;
75;27;41;2;
71;34;21;1;
74;28;31;1;
77;26;24;1;
69;11;72;2;
73;26;62;2;
66;31;40;1;
70;10;52;1;
